Date,ADSGn.DE Close,ADSGn.DE Volume,AIRG.DE Close,AIRG.DE Volume,ALVG.DE Close,ALVG.DE Volume,BASFn.DE Close,BASFn.DE Volume,BAYGn.DE Close,BAYGn.DE Volume,BMWG.DE Close,BMWG.DE Volume,BEIG.DE Close,BEIG.DE Volume,BNRGn.DE Close,BNRGn.DE Volume,CBKG.DE Close,CBKG.DE Volume,CONG.DE Close,CONG.DE Volume,1COV. Volume,1COV.DE Volume,DHER.DE Close,DHER.DE Volume,DBKGn.DE Close,DBKGn.DE Volume,DB1Gn. Volume,DB1Gn.DE Volume,LHAG.DE Close,LHAG.DE Volume,DPWGn.DE Close,DPWGn.DE Volume,DTEGn.DE Close,DTEGn.DE Volume,DWNG.DE Close,DWNG.DE Volume,EONGn.DE Close,EONGn.DE Volume,FMEG.DE Close,FMEG.DE Volume,FREG.DE Close,FREG.DE Volume,HEIG.DE Close,HEIG.DE Volume,HFGG.DE Close,HFGG.DE Volume,HNKG.DE Close,HNKG.DE Volume,IFXGn.DE Close,IFXGn.DE Volume,SDFGn.DE Close,SDFGn.DE Volume,LXSG.DE Close,LXSG.DE Volume,LINI.DE Close,LINI.DE Volume,MBGn.DE Close,MBGn.DE Volume,MRCG.DE Close,MRCG.DE Volume,MTXGn.DE Close,MTXGn.DE Volume,MUVGn.DE Close,MUVGn.DE Volume,PSHG_p.DE Close,PSHG_p.DE Volume,PSMGn.DE Close,PSMGn.DE Volume,PUMG.DE Close,PUMG.DE Volume,QIA.DE Close,QIA.DE Volume,RWEG.DE Close,RWEG.DE Volume,SZGG.DE Close,SZGG.DE Volume,SAPG.DE Close,SAPG.DE Volume,SATG.DE Close,SATG.DE Volume,SIEGn.DE Close,SIEGn.DE Volume,ENR1n. Volume,ENR1n.DE Volume,SHLG.DE Close,SHLG.DE Volume,SY1G. Volume,SY1G.DE Volume,TKAG.DE Close,TKAG.DE Volume,VOWG.DE Close,VOWG.DE Volume,VNAn.DE Close,VNAn.DE Volume,WDIG.H Close,WDIG.H Volume,ZALG.DE Close,ZALG.DE Volume,.GDAXI Close,.GDAXI Volume,nr_nans
2008-01-02,50.0,1975833.0,21.35,505206.0,145.92,2364687.0,50.47,4884954.0,60.472638,3605709.815,42.73,4146992.0,52.39,302710.0,,,155.176685,589146.8915,74.904044,1038114.994,,,,,68.564095,3822191.014,128.63,1274442.0,12.988976,3670534.413,23.21,6594747.0,14.9,26359817.0,12.140285,154088.6035,41.917323,6489429.489,36.1,854520.0,18.599981,126156.1262,95.446757,47971.33192,,,34.59,125635.0,7.248432,13267465.34,39.663121,1242798.736,33.22,485241.0,,,54.172669,5582003.0,43.725,768132.0,39.3,339171.0,132.76,1347918.0,117.746107,568269.2915,16.62,761046.0,27.326,323150.0,14.656388,712591.3129,90.51776,2439719.308,100.36,346377.0,34.88,6703497.0,6.75,6468.0,93.722491,4401146.0,,,,,18.92,392500.0,38.37,3766360.0,153.337349,1397017.0,,,9.232,312.5,,,7949.11,110721221.0,18
2008-01-03,50.09,1526879.0,21.4,480594.0,144.93,2602698.0,50.8,5039774.0,60.728502,4328600.389,42.09,4073510.0,51.18,588536.0,,,153.198767,708750.4684,73.096731,1718458.027,,,,,68.082507,4556013.87,123.85,2588618.0,12.66782,6805272.671,22.67,6044500.0,14.9,25880688.0,12.244095,195244.0554,42.741869,11260373.26,36.34,1036981.0,18.666648,298077.2981,93.786653,57595.30728,,,34.18,157539.0,7.105781,11893802.59,40.395473,1614323.628,32.46,869397.0,,,52.690208,10023548.0,43.075,1484114.0,39.38,485586.0,131.94,1665903.0,112.834392,1583376.813,16.36,805662.0,27.157,267470.0,14.926137,819425.2654,93.263314,4723496.733,97.84,589550.0,34.53,7102153.0,6.8125,3780.0,92.69171,5731663.0,,,,,18.49,750172.0,38.3,3191220.0,150.833558,1813000.0,,,9.288,472.5,,,7908.41,128154391.0,19
2008-01-04,49.81,1962837.0,20.78,472924.0,142.08,4449883.0,51.085,7035580.0,61.437051,6294868.89,40.9,6230583.0,51.02,677989.0,,,152.719272,927064.323,67.320247,6666123.073,,,,,67.748503,8570806.348,118.48,2579312.0,12.382348,10303343.24,22.87,6055992.0,15.0,40134745.0,12.014621,98883.99888,43.230163,12006777.01,36.5,1132109.0,18.543315,174498.1745,92.034321,185989.0706,,,33.93,255579.0,6.847227,14276356.43,39.28391,2283772.209,31.55,833305.0,,,49.557774,19002861.0,43.035,885276.0,36.98,662892.0,131.91,2485581.0,104.327363,3069959.734,15.68,624872.0,26.791,326110.0,14.886174,570193.2281,92.845306,4377460.546,93.86,853443.0,34.12,7817440.0,6.875,4196.0,90.237053,6902944.0,,,,,17.92,944837.0,36.58,5486575.0,148.200603,3535274.0,,,9.136,632.5,,,7808.69,180875069.0,19
2008-01-07,49.51,1696299.0,19.17,1289394.0,140.06,4864778.0,52.1,7214856.0,62.490033,7140858.352,41.98,8574784.0,51.15,448514.0,,,153.13883,755631.5895,66.161491,4596225.935,,,,,67.360126,6923649.543,114.59,3256091.0,12.460853,7571726.824,22.7,5593627.0,15.43,48539366.0,11.670409,163183.2153,44.142426,14776721.78,37.12,1195126.0,18.606648,268506.2685,87.607377,184975.2787,,,33.27,468994.0,6.561926,16884483.03,38.866778,1424599.273,30.45,795916.0,,,49.105498,11364363.0,42.995,1231958.0,35.58,643087.0,131.22,2611482.0,104.457293,2417694.775,15.02,744800.0,25.1,1324690.0,14.586453,704858.7238,95.609859,5454399.059,90.81,644706.0,32.9,15049160.0,7.0,5392.0,88.88306,7134084.0,,,,,18.16,648825.0,36.46,5012535.0,147.922404,2589606.0,,,8.528,792.5,,,7817.17,188030662.0,18
2008-01-08,48.3,2438261.0,19.35,648329.0,139.88,3357422.0,51.985,6252358.0,64.044903,8425603.219,42.0,4824530.0,50.95,561456.0,,,151.460596,973429.7353,67.449958,3119416.228,,,,,66.847468,9194311.168,123.28,3211466.0,12.560768,7536568.21,24.15,13010967.0,15.44,53802629.0,11.746901,111964.9388,43.627816,12716418.72,37.72,1947523.0,19.043314,251118.2511,86.69432,258886.6722,,,33.15,714191.0,6.544094,11999166.63,40.447615,1287232.023,30.31,814344.0,,,48.477336,11370741.0,44.515,2087802.0,34.59,1015900.0,129.94,2680922.0,108.560362,1902431.663,15.19,1065251.0,25.705,774270.0,14.866193,887493.2352,94.156331,6205491.437,94.89,766036.0,33.04,10970280.0,6.75,756.0,90.516586,5192838.0,,,,,17.55,787867.0,37.4,4267096.0,148.09131,2078269.0,,,8.504,496.25,,,7849.99,186940820.0,19
2008-01-09,46.66,2935967.0,18.83,781214.0,139.25,3650880.0,52.41,7190748.0,64.63536,6791872.736,41.75,5664163.0,49.75,719216.0,,,150.02211,910155.713,64.760608,3538030.715,,,,,65.868758,10597644.39,120.88,2319694.0,11.989824,15500323.67,24.18,9140342.0,15.55,43565969.0,11.402689,135132.4968,44.320786,14433071.43,39.1,2938035.0,19.763314,236172.2362,85.403128,165668.7774,,,32.57,597502.0,6.249878,18516548.41,40.736763,2324197.176,29.13,867494.0,,,47.489028,12032984.0,46.895,2937630.0,32.79,1473094.0,130.15,1982422.0,104.251285,2369087.255,14.89,896683.0,26.343,1321490.0,15.056017,1165114.371,94.63134,4900462.436,90.57,707992.0,32.7,8719238.0,6.575,4100.0,85.720832,17794863.0,,,,,17.14,864322.0,37.05,4593640.0,147.574655,2780033.0,,,8.032,200.0,,,7782.71,206848908.0,18
2008-01-10,45.43,2588962.0,19.3,842705.0,138.92,4174058.0,49.89,12792128.0,63.110012,7378704.292,42.09,3821745.0,49.32,1032842.0,,,148.523687,765108.2193,65.573466,3435561.379,,,,,65.092004,8576017.778,120.09,1714225.0,11.847088,13230365.15,23.87,6455243.0,15.45,36647935.0,11.413616,109182.9283,44.677504,15149595.15,38.95,1312611.0,19.756647,238839.2388,84.720641,202644.5331,,,32.7,683943.0,6.232046,12382205.02,40.343332,2964452.527,28.28,1252909.0,,,48.058562,9324324.0,46.205,2185620.0,32.53,654703.0,130.55,2516856.0,104.567563,966347.9199,14.2,1052030.0,26.228,538090.0,15.38571,1261982.624,93.852325,4210049.575,87.18,1180467.0,32.7,8976619.0,6.875,5428.0,84.139718,9316823.0,,,,,16.61,1239636.0,35.22,7782545.0,148.09131,2044521.0,,,8.216,212.5,,,7713.09,176002403.0,19
2008-01-11,44.8,3229685.0,19.04,554503.0,140.15,3502061.0,49.92,7868584.0,63.18874,5361910.181,41.88,4287339.0,46.83,1490709.0,,,151.280786,1090195.329,67.3116,2733137.129,,,,,65.402705,10572999.53,123.27,2493369.0,12.189654,10699467.55,23.79,7902077.0,15.32,27476613.0,11.364443,85135.01042,43.274022,20416208.42,38.67,1530010.0,19.373314,279636.2796,87.487481,111731.7951,,,31.6,976731.0,6.035902,22607824.88,40.205867,1940520.744,27.96,915844.0,,,48.510838,9207632.0,46.45,1464028.0,32.4,731662.0,130.97,1968945.0,103.367416,1482734.094,14.09,742176.0,26.001,645940.0,15.275812,1699775.245,92.351296,5192909.653,91.34,886449.0,32.81,6835403.0,6.575,4240.0,84.890966,6401490.0,,,,,16.9,1176080.0,36.2,5473767.0,149.204107,1657487.0,,,7.76,225.0,,,7717.95,167246646.0,19
2008-01-14,44.69,1654532.0,19.39,526381.0,143.39,4111883.0,49.735,4287568.0,62.686852,4747524.375,41.5,5119749.0,48.77,1431894.0,,,151.460596,752867.8506,68.470355,1823533.305,,,,,65.868758,5980464.451,126.69,1393364.0,12.28957,4531058.738,23.37,7446266.0,15.19,19459750.0,11.621236,59866.30239,42.408542,11854658.85,38.24,905368.0,19.393314,134595.1346,89.322818,87818.23308,,,31.55,593612.0,6.187468,15026477.01,41.601839,1486934.985,27.94,705989.0,,,49.046869,7309761.0,44.97,2743370.0,33.52,506503.0,130.71,1734009.0,106.968713,1301897.741,14.27,1140085.0,25.949,524760.0,15.565543,1737264.339,89.596242,4777861.277,95.18,1055191.0,33.7,16626264.0,6.4625,540.0,85.965424,4823150.0,,,,,17.33,930992.0,36.26,3824248.0,152.810758,1959233.0,,,7.624,237.5,,,7732.02,132876219.0,19
2008-01-15,42.95,3892128.0,18.54,1162000.0,141.06,4206181.0,49.42,8995454.0,61.791325,7776251.277,39.9,5295972.0,48.51,1326630.0,,,138.873843,3717557.236,65.902068,2256896.179,,,,,64.198736,11345153.68,122.86,1909767.0,11.97555,6847207.432,22.62,10810545.0,15.18,36854811.0,11.473717,200172.9726,42.619064,12949848.95,37.82,1405790.0,19.296647,248013.248,88.437429,104255.7575,,,30.3,920327.0,5.964577,14843567.39,42.120884,3110853.266,27.31,734950.0,,,47.413649,11354757.0,43.63,1865746.0,33.91,1295785.0,127.22,3169364.0,102.150172,1628381.177,13.58,1002856.0,25.232,579050.0,14.886174,1579476.187,89.938249,3884960.955,94.27,878315.0,32.86,13354124.0,6.285,3000.0,84.541548,7562217.0,,,,,17.28,1239837.0,35.74,3358469.0,149.790312,2001196.0,,,8.336,250.0,,,7566.38,234018748.0,19
