;ADSGn.DE;ADSGn.DE;AIRG.DE;AIRG.DE;ALVG.DE;ALVG.DE;BASFn.DE;BASFn.DE;BAYGn.DE;BAYGn.DE;BMWG.DE;BMWG.DE;BEIG.DE;BEIG.DE;BNRGn.DE;BNRGn.DE;CBKG.DE;CBKG.DE;CONG.DE;CONG.DE;1COV.DE;1COV.DE;DHER.DE;DHER.DE;DBKGn.DE;DBKGn.DE;DB1Gn.DE;DB1Gn.DE;LHAG.DE;LHAG.DE;DPWGn.DE;DPWGn.DE;DTEGn.DE;DTEGn.DE;DWNG.DE;DWNG.DE;EONGn.DE;EONGn.DE;FREG.DE;FREG.DE;HEIG.DE;HEIG.DE;HFGG.DE;HFGG.DE;HNKG.DE;HNKG.DE;IFXGn.DE;IFXGn.DE;SDFGn.DE;SDFGn.DE;LXSG.DE;LXSG.DE;LINI.DE;LINI.DE;MRCG.DE;MRCG.DE;MTXGn.DE;MTXGn.DE;MUVGn.DE;MUVGn.DE;PSHG_p.DE;PSHG_p.DE;PSMGn.DE;PSMGn.DE;PUMG.DE;PUMG.DE;QIA.DE;QIA.DE;RWEG.DE;RWEG.DE;SZGG.DE;SZGG.DE;SAPG.DE;SAPG.DE;SATG.DE;SATG.DE;SIEGn.DE;SIEGn.DE;ENR1n.DE;ENR1n.DE;SHLG.DE;SHLG.DE;SY1G.DE;SY1G.DE;TKAG.DE;TKAG.DE;VOWG.DE;VOWG.DE;VNAn.DE;VNAn.DE;WDIG.H;WDIG.H;ZALG.DE;ZALG.DE
;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume;Close Price;Accumulated Volume
01.01.08;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
02.01.08;50;1975833;21,35;505206;145,92;2364687;50,47;4884954;60,472638;3605709,815;42,73;4146992;52,39;302710;NULL;NULL;155,176685;589146,8915;74,904044;1038114,994;NULL;NULL;NULL;NULL;68,564095;3822191,014;128,63;1274442;12,988976;3670534,413;23,21;6594747;14,9;26359817;12,140285;154088,6035;41,917323;6489429,489;18,599981;126156,1262;95,446757;47971,33192;NULL;NULL;34,59;125635;7,248432;13267465,34;39,663121;1242798,736;33,22;485241;NULL;NULL;43,725;768132;39,3;339171;132,76;1347918;117,746107;568269,2915;16,62;761046;27,326;323150;14,656388;712591,3129;90,51776;2439719,308;100,36;346377;34,88;6703497;6,75;6468;93,722491;4401146;NULL;NULL;NULL;NULL;18,92;392500;38,37;3766360;153,337349;1397017;NULL;NULL;9,232;312,5;NULL;NULL
03.01.08;50,09;1526879;21,4;480594;144,93;2602698;50,8;5039774;60,728502;4328600,389;42,09;4073510;51,18;588536;NULL;NULL;153,198767;708750,4684;73,096731;1718458,027;NULL;NULL;NULL;NULL;68,082507;4556013,87;123,85;2588618;12,66782;6805272,671;22,67;6044500;14,9;25880688;12,244095;195244,0554;42,741869;11260373,26;18,666648;298077,2981;93,786653;57595,30728;NULL;NULL;34,18;157539;7,105781;11893802,59;40,395473;1614323,628;32,46;869397;NULL;NULL;43,075;1484114;39,38;485586;131,94;1665903;112,834392;1583376,813;16,36;805662;27,157;267470;14,926137;819425,2654;93,263314;4723496,733;97,84;589550;34,53;7102153;6,8125;3780;92,69171;5731663;NULL;NULL;NULL;NULL;18,49;750172;38,3;3191220;150,833558;1813000;NULL;NULL;9,288;NULL;NULL;NULL
04.01.08;49,81;1962837;20,78;472924;142,08;4449883;51,085;7035580;61,437051;6294868,89;40,9;6230583;51,02;677989;NULL;NULL;152,719272;927064,323;67,320247;6666123,073;NULL;NULL;NULL;NULL;67,748503;8570806,348;118,48;2579312;12,382348;10303343,24;22,87;6055992;15;40134745;12,014621;98883,99888;43,230163;12006777,01;18,543315;174498,1745;92,034321;185989,0706;NULL;NULL;33,93;255579;6,847227;14276356,43;39,28391;2283772,209;31,55;833305;NULL;NULL;43,035;885276;36,98;662892;131,91;2485581;104,327363;3069959,734;15,68;624872;26,791;326110;14,886174;570193,2281;92,845306;4377460,546;93,86;853443;34,12;7817440;6,875;4196;90,237053;6902944;NULL;NULL;NULL;NULL;17,92;944837;36,58;5486575;148,200603;3535274;NULL;NULL;9,136;NULL;NULL;NULL
07.01.08;49,51;1696299;19,17;1289394;140,06;4864778;52,1;7214856;62,490033;7140858,352;41,98;8574784;51,15;448514;NULL;NULL;153,13883;755631,5895;66,161491;4596225,935;NULL;NULL;NULL;NULL;67,360126;6923649,543;114,59;3256091;12,460853;7571726,824;22,7;5593627;15,43;48539366;11,670409;163183,2153;44,142426;14776721,78;18,606648;268506,2685;87,607377;184975,2787;NULL;NULL;33,27;468994;6,561926;16884483,03;38,866778;1424599,273;30,45;795916;NULL;NULL;42,995;1231958;35,58;643087;131,22;2611482;104,457293;2417694,775;15,02;744800;25,1;1324690;14,586453;704858,7238;95,609859;5454399,059;90,81;644706;32,9;15049160;7;5392;88,88306;7134084;NULL;NULL;NULL;NULL;18,16;648825;36,46;5012535;147,922404;2589606;NULL;NULL;8,528;792,5;NULL;NULL
08.01.08;48,3;2438261;19,35;648329;139,88;3357422;51,985;6252358;64,044903;8425603,219;42;4824530;50,95;561456;NULL;NULL;151,460596;973429,7353;67,449958;3119416,228;NULL;NULL;NULL;NULL;66,847468;9194311,168;123,28;3211466;12,560768;7536568,21;24,15;13010967;15,44;53802629;11,746901;111964,9388;43,627816;12716418,72;19,043314;251118,2511;86,69432;258886,6722;NULL;NULL;33,15;714191;6,544094;11999166,63;40,447615;1287232,023;30,31;814344;NULL;NULL;44,515;2087802;34,59;1015900;129,94;2680922;108,560362;1902431,663;15,19;1065251;25,705;774270;14,866193;887493,2352;94,156331;6205491,437;94,89;766036;33,04;10970280;6,75;756;90,516586;5192838;NULL;NULL;NULL;NULL;17,55;787867;37,4;4267096;148,09131;2078269;NULL;NULL;8,504;NULL;NULL;NULL
09.01.08;46,66;2935967;18,83;781214;139,25;3650880;52,41;7190748;64,63536;6791872,736;41,75;5664163;49,75;719216;NULL;NULL;150,02211;910155,713;64,760608;3538030,715;NULL;NULL;NULL;NULL;65,868758;10597644,39;120,88;2319694;11,989824;15500323,67;24,18;9140342;15,55;43565969;11,402689;135132,4968;44,320786;14433071,43;19,763314;236172,2362;85,403128;165668,7774;NULL;NULL;32,57;597502;6,249878;18516548,41;40,736763;2324197,176;29,13;867494;NULL;NULL;46,895;2937630;32,79;1473094;130,15;1982422;104,251285;2369087,255;14,89;896683;26,343;1321490;15,056017;1165114,371;94,63134;4900462,436;90,57;707992;32,7;8719238;6,575;4100;85,720832;17794863;NULL;NULL;NULL;NULL;17,14;864322;37,05;4593640;147,574655;2780033;NULL;NULL;8,032;200;NULL;NULL
10.01.08;45,43;2588962;19,3;842705;138,92;4174058;49,89;12792128;63,110012;7378704,292;42,09;3821745;49,32;1032842;NULL;NULL;148,523687;765108,2193;65,573466;3435561,379;NULL;NULL;NULL;NULL;65,092004;8576017,778;120,09;1714225;11,847088;13230365,15;23,87;6455243;15,45;36647935;11,413616;109182,9283;44,677504;15149595,15;19,756647;238839,2388;84,720641;202644,5331;NULL;NULL;32,7;683943;6,232046;12382205,02;40,343332;2964452,527;28,28;1252909;NULL;NULL;46,205;2185620;32,53;654703;130,55;2516856;104,567563;966347,9199;14,2;1052030;26,228;538090;15,38571;1261982,624;93,852325;4210049,575;87,18;1180467;32,7;8976619;6,875;5428;84,139718;9316823;NULL;NULL;NULL;NULL;16,61;1239636;35,22;7782545;148,09131;2044521;NULL;NULL;8,216;NULL;NULL;NULL
11.01.08;44,8;3229685;19,04;554503;140,15;3502061;49,92;7868584;63,18874;5361910,181;41,88;4287339;46,83;1490709;NULL;NULL;151,280786;1090195,329;67,3116;2733137,129;NULL;NULL;NULL;NULL;65,402705;10572999,53;123,27;2493369;12,189654;10699467,55;23,79;7902077;15,32;27476613;11,364443;85135,01042;43,274022;20416208,42;19,373314;279636,2796;87,487481;111731,7951;NULL;NULL;31,6;976731;6,035902;22607824,88;40,205867;1940520,744;27,96;915844;NULL;NULL;46,45;1464028;32,4;731662;130,97;1968945;103,367416;1482734,094;14,09;742176;26,001;645940;15,275812;1699775,245;92,351296;5192909,653;91,34;886449;32,81;6835403;6,575;4240;84,890966;6401490;NULL;NULL;NULL;NULL;16,9;1176080;36,2;5473767;149,204107;1657487;NULL;NULL;7,76;NULL;NULL;NULL
14.01.08;44,69;1654532;19,39;526381;143,39;4111883;49,735;4287568;62,686852;4747524,375;41,5;5119749;48,77;1431894;NULL;NULL;151,460596;752867,8506;68,470355;1823533,305;NULL;NULL;NULL;NULL;65,868758;5980464,451;126,69;1393364;12,28957;4531058,738;23,37;7446266;15,19;19459750;11,621236;59866,30239;42,408542;11854658,85;19,393314;134595,1346;89,322818;87818,23308;NULL;NULL;31,55;593612;6,187468;15026477,01;41,601839;1486934,985;27,94;705989;NULL;NULL;44,97;2743370;33,52;506503;130,71;1734009;106,968713;1301897,741;14,27;1140085;25,949;524760;15,565543;1737264,339;89,596242;4777861,277;95,18;1055191;33,7;16626264;6,4625;540;85,965424;4823150;NULL;NULL;NULL;NULL;17,33;930992;36,26;3824248;152,810758;1959233;NULL;NULL;7,624;NULL;NULL;NULL
15.01.08;42,95;3892128;18,54;1162000;141,06;4206181;49,42;8995454;61,791325;7776251,277;39,9;5295972;48,51;1326630;NULL;NULL;138,873843;3717557,236;65,902068;2256896,179;NULL;NULL;NULL;NULL;64,198736;11345153,68;122,86;1909767;11,97555;6847207,432;22,62;10810545;15,18;36854811;11,473717;200172,9726;42,619064;12949848,95;19,296647;248013,248;88,437429;104255,7575;NULL;NULL;30,3;920327;5,964577;14843567,39;42,120884;3110853,266;27,31;734950;NULL;NULL;43,63;1865746;33,91;1295785;127,22;3169364;102,150172;1628381,177;13,58;1002856;25,232;579050;14,886174;1579476,187;89,938249;3884960,955;94,27;878315;32,86;13354124;6,285;3000;84,541548;7562217;NULL;NULL;NULL;NULL;17,28;1239837;35,74;3358469;149,790312;2001196;NULL;NULL;8,336;NULL;NULL;NULL
16.01.08;40,81;7466770;18,51;1539362;142,02;5878872;47,775;14060350;59,764089;10462215,54;40,01;6390046;48,69;1266708;NULL;NULL;136,116745;3365638,418;67,84774;4012399,938;NULL;NULL;NULL;NULL;63,383144;16854422,75;112;6422040;12,161107;9387834,884;22,37;9680136;15,08;44422219;11,473717;229995,3924;41,738964;22011712,01;19,346647;212658,2127;89,009243;146390,4671;NULL;NULL;30,06;654428;5,741685;23226388,18;37,769436;3765534,351;26,39;1313490;NULL;NULL;43,94;1542472;33,12;696387;126,65;3934631;99,584899;2665060,844;13,49;999335;23,685;2491090;14,476555;1444314,765;89,377738;6683305,257;90,4;1304137;33,44;13562744;6,535;13368;82,934228;9608586;NULL;NULL;NULL;NULL;17,19;824861;34,84;7881831;152,115261;3213623;NULL;NULL;7,784;NULL;NULL;NULL
