Umtauschdatum;Schlusskurs
02.01.09;4973.07
05.01.09;4983.99
06.01.09;5026.31
07.01.09;4937.47
08.01.09;4879.91
09.01.09;4783.89
12.01.09;4719.62
13.01.09;4636.94
14.01.09;4422.35
15.01.09;4336.73
16.01.09;4366.28
19.01.09;4316.14
20.01.09;4239.85
21.01.09;4261.15
22.01.09;4219.42
23.01.09;4178.94
26.01.09;4326.87
27.01.09;4323.42
28.01.09;4518.72
29.01.09;4428.11
30.01.09;4338.35
02.02.09;4271.04
03.02.09;4374.96
04.02.09;4492.79
05.02.09;4510.49
06.02.09;4644.63
09.02.09;4666.82
10.02.09;4505.54
11.02.09;4530.09
12.02.09;4407.56
13.02.09;4413.39
16.02.09;4366.64
17.02.09;4216.6
18.02.09;4204.96
19.02.09;4215.21
20.02.09;4014.66
23.02.09;3936.45
24.02.09;3895.75
25.02.09;3846.21
26.02.09;3942.62
27.02.09;3843.74
02.03.09;3710.07
03.03.09;3690.72
04.03.09;3890.94
05.03.09;3695.49
06.03.09;3666.41
09.03.09;3692.03
10.03.09;3886.98
11.03.09;3914.1
12.03.09;3956.22
13.03.09;3953.6
16.03.09;4044.54
17.03.09;3987.77
18.03.09;3996.32
19.03.09;4043.46
20.03.09;4068.74
23.03.09;4176.37
24.03.09;4187.36
25.03.09;4223.29
26.03.09;4259.37
27.03.09;4203.55
30.03.09;3989.23
31.03.09;4084.76
01.04.09;4131.07
02.04.09;4381.92
03.04.09;4384.99
06.04.09;4349.81
07.04.09;4322.5
08.04.09;4357.92
09.04.09;4491.12
14.04.09;4557.01
15.04.09;4549.79
16.04.09;4609.46
17.04.09;4676.84
20.04.09;4486.3
21.04.09;4501.63
22.04.09;4594.42
23.04.09;4538.21
24.04.09;4674.32
27.04.09;4694.07
28.04.09;4607.42
29.04.09;4704.56
30.04.09;4769.45
04.05.09;4902.45
05.05.09;4853.03
06.05.09;4880.71
07.05.09;4804.1
08.05.09;4913.9
11.05.09;4866.91
12.05.09;4854.11
