Date of change;Date of announcement;Deletion;Addition;Merger/Spin-Off_Addition;Merger/Spin-Off_Deletion
18.09.89;;;;;
03.09.90;22.05.90;"Feldmühle Nobel
Nixdorf *";"Metallgesellschaft
Preussag";True;
18.09.95;18.07.95;Deutsche Babcock;SAP;;
22.07.96;06.01.96;Kaufhof*;Metro;True;
23.09.96;16.07.96;Continental;Münchener Rückversicherung;;
18.11.96;16.07.96;Metallgesellschaft;Deutsche Telekom;;
22.09.97;;;;;
22.06.98;26.05.98;Bayerische Vereinsbank* Bay. Hypo-und Wechsel- Bank*;Bayer. Hypo- und Vereinsbank adidas-Salomon;True;
21.09.98;;;;;
21.12.98;05.11.98;Daimler-Benz*;DaimlerChrysler;True;
01.01.99;;Conversion from DEM to EUR;;;
22.03.99;03.02.99;Degussa*;Degussa-Hüls;True;
25.03.99;09.12.98;Thyssen*;ThyssenKrupp;True;
20.09.99;20.07.99;Hoechst;Fresenius Medical Care;;
14.02.00;10.02.00;Mannesmann;EPCOS;;
19.06.00;10.05.00;"Veba*
Viag*";E.ON Infineon;True;
18.09.00;;;;;
18.12.00;14.11.00;Degussa-Hüls*;Degussa;True;
19.03.01;14.02.01;Karstadt Quelle;"
Deutsche Post";;
23.07.01;26.06.01;Dresdner Bank;MLP;;
24.09.01;;;;;
23.09.02;13.08.02;Degussa;Altana;;
23.12.02;12.11.02;EPCOS;Deutsche Börse;;
22.09.03;19.08.03;MLP;Continental;;
20.09.04;03.09.04;;;;
31.01.05;26.01.05;;Lanxess*;;True
31.01.05;26.01.05;Lanxess*;;True;
19.09.05;05.09.05;;;;
19.12.05;05.12.05;Bayer. Hypo- und;Hypo Real Estate Holding;;
19.06.06;06.06.06;;;;
18.09.06;14.09.06;Schering;Deutsche Postbank;;
18.06.07;05.06.07;Altana;Merck KGaA;;
22.09.08;03.09.08;TUI;K+S;;
22.12.08;03.12.08;Continental Hypo Real Estate;Beiersdorf Salzgitter;;
23.03.09;04.03.09;"Infineon
Deutsche Postbank";"Fresenius Pref
Hannover Rückversicherung";;
21.09.09;03.09.09;Hannover Rück;Infineon;;
23.12.09;18.12.09;Volkswagen (St);Volkswagen (Vz);;
21.06.10;04.06.10;Salzgitter;HeidelbergCement;;
24.09.12;05.09.12;"MAN
Metro";Lanxess Continental;;
21.09.15;03.09.15;Lanxess AG;Vonovia SE;;
21.03.16;03.03.16;K+S;ProSiebenSat.1 Media;;
18.07.16;13.07.16;Deutsche Börse*;Deutsche Börse (z. Umtausch eingereichte Aktie)*;True;True
04.04.17;31.03.17;Deutsche Börse (z. Umtausch eingereichte;Deutsche Börse*;;True
25.10.17;20.10.17;Linde AG;Linde AG (z. Umtausch eingereichte Aktie*);;True
19.03.18;05.03.18;ProSiebenSat.1 Media SA;Covestro AG;;
24.09.18;05.09.18;Commerzbank AG;Wirecard AG;;
23.09.19;04.09.19;Thyssenkrupp AG;MTU Aero Engines;;
22.06.20;04.06.20;Deutsche Lufthansa AG;Deutsche Wohnen SE;;
24.08.20;19.08.20;Wirecard AG;Delivery Hero SE;;
22.03.21;03.03.21;Beiersdorf AG;Siemens Energy AG;;
20.09.21;03.09.21;;;;
29.10.21;26.10.21;Deutsche Wohnen SE;Beiersdorf AG;;
